"zip","city","county","state","pop"
"33484","Delray Beach","Palm Beach","FL",26146
"33629","Tampa","Hillsborough","FL",25999
"34982","Fort Pierce","Saint Lucie","FL",25981
"33331","Fort Lauderdale","Broward","FL",25854
"33805","Lakeland","Polk","FL",25709
"33770","Largo","Pinellas","FL",25688
"33712","Saint Petersburg","Pinellas","FL",25674
"32563","Gulf Breeze","Santa Rosa","FL",25550
"33703","Saint Petersburg","Pinellas","FL",25457
"33709","Saint Petersburg","Pinellas","FL",25455
"33755","Clearwater","Pinellas","FL",25445
"34482","Ocala","Marion","FL",25244
"33860","Mulberry","Polk","FL",25150
"33707","Saint Petersburg","Pinellas","FL",25143
"33781","Pinellas Park","Pinellas","FL",25059
"34769","Saint Cloud","Osceola","FL",25018
"33446","Delray Beach","Palm Beach","FL",24983
"32505","Pensacola","Escambia","FL",24965
"32043","Green Cove Springs","Clay","FL",24952
"34491","Summerfield","Marion","FL",24936
"34471","Ocala","Marion","FL",24898
"33993","Cape Coral","Lee","FL",24856
"33166","Miami","Miami-Dade","FL",24830
"33547","Lithia","Hillsborough","FL",24813
"32901","Melbourne","Brevard","FL",24772
"32605","Gainesville","Alachua","FL",24684
"33928","Estero","Lee","FL",24682
"34109","Naples","Collier","FL",24662
"32117","Daytona Beach","Volusia","FL",24602
"32233","Atlantic Beach","Duval","FL",24473
"32750","Longwood","Seminole","FL",24389
"32832","Orlando","Orange","FL",24325
"33907","Fort Myers","Lee","FL",24198
"32953","Merritt Island","Brevard","FL",24181
"34974","Okeechobee","Okeechobee","FL",24163
"33486","Boca Raton","Palm Beach","FL",24146
"34104","Naples","Collier","FL",24121
"32223","Jacksonville","Duval","FL",24039
"34110","Naples","Collier","FL",24008
"33137","Miami","Miami-Dade","FL",23965
"33913","Fort Myers","Lee","FL",23816
"33607","Tampa","Hillsborough","FL",23813
"34219","Parrish","Manatee","FL",23792
"33936","Lehigh Acres","Lee","FL",23787
"33444","Delray Beach","Palm Beach","FL",23770
"32060","Live Oak","Suwannee","FL",23768
"32606","Gainesville","Alachua","FL",23766
"33327","Fort Lauderdale","Broward","FL",23762
"34202","Bradenton","Manatee","FL",23739
"33916","Fort Myers","Lee","FL",23438
"32536","Crestview","Okaloosa","FL",23426
"34652","New Port Richey","Pasco","FL",23409
"32905","Palm Bay","Brevard","FL",23395
"33034","Homestead","Miami-Dade","FL",23281
"33426","Boynton Beach","Palm Beach","FL",23155
"32763","Orange City","Volusia","FL",23098
"32504","Pensacola","Escambia","FL",23080
"34957","Jensen Beach","Martin","FL",23078
"33782","Pinellas Park","Pinellas","FL",23052
"34654","New Port Richey","Pasco","FL",23021
"33556","Odessa","Hillsborough","FL",22978
"33558","Lutz","Hillsborough","FL",22843
"33634","Tampa","Hillsborough","FL",22733
"34476","Ocala","Marion","FL",22665
"33430","Belle Glade","Palm Beach","FL",22603
"32401","Panama City","Bay","FL",22566
"33772","Seminole","Pinellas","FL",22517
"32308","Tallahassee","Leon","FL",22441
"33455","Hobe Sound","Martin","FL",22415
"33573","Sun City Center","Hillsborough","FL",22412
"32119","Daytona Beach","Volusia","FL",22398
"32726","Eustis","Lake","FL",22377
"32025","Lake City","Columbia","FL",22374
"33991","Cape Coral","Lee","FL",22354
"32926","Cocoa","Brevard","FL",22350
"34677","Oldsmar","Pinellas","FL",22152
"32129","Port Orange","Volusia","FL",22149
"33903","North Fort Myers","Lee","FL",22122
"32751","Maitland","Orange","FL",22073
"33950","Punta Gorda","Charlotte","FL",22017
"33062","Pompano Beach","Broward","FL",22014
"32701","Altamonte Springs","Seminole","FL",21997
"33935","Labelle","Hendry","FL",21968
"32080","Saint Augustine","Saint Johns","FL",21943
"34234","Sarasota","Sarasota","FL",21865
"34601","Brooksville","Hernando","FL",21847
"33496","Boca Raton","Palm Beach","FL",21825
"33140","Miami Beach","Miami-Dade","FL",21807
"33870","Sebring","Highlands","FL",21760
"33811","Lakeland","Polk","FL",21739
"33184","Miami","Miami-Dade","FL",21733
"32444","Lynn Haven","Bay","FL",21730
